Code,URL
7KQ2MZP9XH4T,https://cursor.com/referral?code=7KQ2MZP9XH4T
B8RN5LWC2JYQ,https://cursor.com/referral?code=B8RN5LWC2JYQ
T4VJ9QAM7KXE,https://cursor.com/referral?code=T4VJ9QAM7KXE
H2XPC8WR5NMF,https://cursor.com/referral?code=H2XPC8WR5NMF
QL7D9TZM4BKA,https://cursor.com/referral?code=QL7D9TZM4BKA
M5YH2CXR8PQN,https://cursor.com/referral?code=M5YH2CXR8PQN
Z8NK4JWV3LPT,https://cursor.com/referral?code=Z8NK4JWV3LPT
R2FM7QXC9HBL,https://cursor.com/referral?code=R2FM7QXC9HBL
C9TW5YKP8NXR,https://cursor.com/referral?code=C9TW5YKP8NXR
X4LP8QHJ7MVD,https://cursor.com/referral?code=X4LP8QHJ7MVD
N7BZ2WQK5XTC,https://cursor.com/referral?code=N7BZ2WQK5XTC
P3MH9RXL6QJW,https://cursor.com/referral?code=P3MH9RXL6QJW
V8KC5TQN2YHR,https://cursor.com/referral?code=V8KC5TQN2YHR
J6XRM4PB9LQW,https://cursor.com/referral?code=J6XRM4PB9LQW
W2QH7NZC8KMT,https://cursor.com/referral?code=W2QH7NZC8KMT
